bait accession,prey accession,weight_1,abundance_1,weight_2,abundance_2,weight_3,abundance_3,weight_4,abundance_4
P24864-1,P50914,0.052034384,1.8,0.042308883,1.5,0,0,0,0
P24864-1,Q14008-1,0.052707545,1.8,0.041328749,1.4,0,0,0,0
P24864-1,O75694-1,0.057574499,2,0.056597421,2,0,0,0,0
P24864-1,A8K674,0.059468481,2.1,0.031805158,1.1,0,0,0,0
P24864-1,Q09028,0.06612894,2.3,0.025274785,0.9,0,0,0,0
P24864-1,P35268,0.069126074,2.4,0.043011461,1.5,0,0,0,0
P24864-1,O14908,0.070716905,2.5,0.098567622,3.4,0,0,0,0
P24864-1,O00571,0.071035817,2.5,0.072204871,2.5,0,0,0,0
P24864-1,O14980,0.075256447,2.6,0.079468481,2.8,0,0,0,0
P24864-1,A5YKK6-1,0.076588348,2.7,0.066430086,2.3,0,0,0,0
P24864-1,Q9NUP9,0.091799427,3.2,0.031197708,1.1,0,0,0,0
P24864-1,P51948,0.10382808,3.6,0.165954155,5.8,0,0,0,0
P24864-1,Q13148,0.109352436,3.8,0.027989112,1,0,0,0,0
P24864-1,P84090,0.140323782,4.9,0.13277937,4.6,0,0,0,0
P24864-1,Q5T4S7-2,0.14230277,5,0.080074499,2.8,0,0,0,0
P24864-1,P31943,0.161083286,5.6,0.161694365,5.6,0,0,0,0
P24864-1,P28749-1,0.182604585,6.4,0.046234957,1.6,0,0,0,0
P24864-1,P50613,0.217051576,7.6,0.455316619,15.9,0,0,0,0
P24864-1,P51946,0.224722063,7.8,0.256547278,9,0,0,0,0
P24864-1,P23588,0.237727794,8.3,0.431919771,15.1,0,0,0,0
P24864-1,Q08999,0.253355301,8.8,0.125573066,4.4,0,0,0,0
P24864-1,P38936,0.35625,12.4,0.074838109,2.6,0,0,0,0
P24864-1,P24864-1,0.401327364,14,0.358044413,12.5,0,0,0,0
P24864-1,P06493-1,0.412901146,14.4,0.637098854,22.2,0,0,0,0
P24864-1,Q15208,0.432063037,15.1,0.433963706,15.1,0,0,0,0
P24864-1,P46527,0.437153773,15.3,0.088643744,3.1,0,0,0,0
P24864-1,Q13309-1,0.62212106,21.7,0.599713467,20.9,0,0,0,0
P24864-1,Q9UPZ9-1,0.730974212,25.5,0.622055874,21.7,0,0,0,0
P24864-1,P24941,0.741067335,25.9,0.757213467,26.4,0,0,0,0
P24864-1,P49918-1,1.001260745,34.9,0.118424069,4.1,0,0,0,0
P20248,A6NE65,0,0,0.052315186,1.8,0.104816619,3.7,0,0
P20248,Q9BUJ2-1,0,0,0.053292264,1.9,0.024374785,0.9,0,0
P20248,P62333,0,0,0.054088825,1.9,0.088833811,3.1,0,0
P20248,P62280,0,0,0.055017192,1.9,0.026838109,0.9,0,0
P20248,Q13838-2,0,0,0.055077364,1.9,0.031472779,1.1,0,0
P20248,P46777,0,0,0.057756447,2,0.144323782,5,0,0
P20248,P78527-1,0,0,0.060275072,2.1,0.301661891,10.5,0,0
P20248,Q9Y265-1,0,0,0.060618911,2.1,0.066535817,2.3,0,0
P20248,P13010,0,0,0.062323209,2.2,0.063928367,2.2,0,0
P20248,P18077,0,0,0.062733524,2.2,0.212633238,7.4,0,0
P20248,P62917,0,0,0.063244986,2.2,0.038775072,1.4,0,0
P20248,P35244,0,0,0.064018625,2.2,0.133530086,4.7,0,0
P20248,Q8IWZ2,0,0,0.065110315,2.3,0.042524355,1.5,0,0
P20248,P28749-1,0,0,0.066229226,2.3,0.12787106,4.5,0,0
P20248,P46778,0,0,0.066472779,2.3,0.023369054,0.8,0,0
P20248,P05388,0,0,0.068340974,2.4,0.208217765,7.3,0,0
P20248,P62857,0,0,0.072737345,2.5,0.086868195,3,0,0
P20248,P30291,0,0,0.073031519,2.5,0.10521681,3.7,0,0
P20248,A8K674,0,0,0.07417574,2.6,0.076722063,2.7,0,0
P20248,P30153,0,0,0.076016237,2.7,0.175088825,6.1,0,0
P20248,P28072,0,0,0.076048711,2.7,0.029790831,1,0,0
P20248,A6NE05,0,0,0.082136103,2.9,0.102838109,3.6,0,0
P20248,P61981,0,0,0.085016428,3,0.282880611,9.9,0,0
P20248,A8MUS3,0,0,0.085337822,3,0.0905234,3.2,0,0
P20248,O15481,0,0,0.087673352,3.1,0.056232092,2,0,0
P20248,P63104,0,0,0.087886342,3.1,0.378164279,13.2,0,0
P20248,P55072,0,0,0.090544413,3.2,0.121229226,4.2,0,0
P20248,O95816,0,0,0.095530086,3.3,0.065823782,2.3,0,0
P20248,P84090,0,0,0.097528176,3.4,0.174404967,6.1,0,0
P20248,P27348,0,0,0.097639924,3.4,0.390676218,13.6,0,0
P20248,Q9GZT3,0,0,0.098229226,3.4,0.057100287,2,0,0
P20248,P62913-1,0,0,0.098318052,3.4,0.165481375,5.8,0,0
P20248,Q02543,0,0,0.100143266,3.5,0.084318052,2.9,0,0
P20248,P05198,0,0,0.102624642,3.6,0.113389685,4,0,0
P20248,P39023,0,0,0.103275072,3.6,0.040690544,1.4,0,0
P20248,Q16778,0,0,0.104982808,3.7,0.12013467,4.2,0,0
P20248,O75179-1,0,0,0.105491404,3.7,0.079070201,2.8,0,0
P20248,Q13616,0,0,0.10613467,3.7,0.029468625,1,0,0
P20248,P62241,0,0,0.10665043,3.7,0.031028653,1.1,0,0
P20248,P35268,0,0,0.108120344,3.8,0.15969341,5.6,0,0
P20248,O60343,0,0,0.110470869,3.9,0.234560649,8.2,0,0
P20248,P30050-1,0,0,0.110833811,3.9,0.107406877,3.7,0,0
P20248,P37108,0,0,0.112130372,3.9,0.044641261,1.6,0,0
P20248,Q5W0B1,0,0,0.113481375,4,0.120830946,4.2,0,0
P20248,P19338,0,0,0.116597612,4.1,0.07852149,2.7,0,0
P20248,P06748-1,0,0,0.120143266,4.2,0.187802292,6.6,0,0
P20248,P08865,0,0,0.120548711,4.2,0.049103152,1.7,0,0
P20248,P07910-1,0,0,0.121100287,4.2,0.067526266,2.4,0,0
P20248,P51946,0,0,0.123974212,4.3,0.130911175,4.6,0,0
P20248,P62899,0,0,0.124034384,4.3,0.112810888,3.9,0,0
P20248,Q9BTM1-2,0,0,0.12791404,4.5,0.185916905,6.5,0,0
P20248,P40429,0,0,0.132169054,4.6,0.066851003,2.3,0,0
P20248,P46527,0,0,0.135535817,4.7,0.057100287,2,0,0
P20248,P49918-1,0,0,0.137054441,4.8,0.13617192,4.8,0,0
P20248,A8MYX5,0,0,0.137360076,4.8,0.163541547,5.7,0,0
P20248,B2R4K7,0,0,0.138383954,4.8,0.060146132,2.1,0,0
P20248,P62805,0,0,0.13936533,4.9,0.197309456,6.9,0,0
P20248,P11940-1,0,0,0.146916905,5.1,0.03391404,1.2,0,0
P20248,P63220,0,0,0.147985673,5.2,0.071659026,2.5,0,0
P20248,Q13283,0,0,0.153747851,5.4,0.02965616,1,0,0
P20248,P51116,0,0,0.15439255,5.4,0.074014327,2.6,0,0
P20248,Q99741,0,0,0.154504298,5.4,0.137839542,4.8,0,0
P20248,P32969,0,0,0.159,5.5,0.074722063,2.6,0,0
P20248,P43355,0,0,0.159438395,5.6,0.046750716,1.6,0,0
P20248,Q5RI17,0,0,0.160048711,5.6,0.040851003,1.4,0,0
P20248,A6NC28,0,0,0.160243553,5.6,0.084759312,3,0,0
P20248,Q5T4S7-2,0,0,0.166467049,5.8,0.19813467,6.9,0,0
P20248,Q13547,0,0,0.169938395,5.9,0.193525788,6.8,0,0
P20248,P38936,0,0,0.173489016,6.1,0.222974212,7.8,0,0
P20248,P62906,0,0,0.176459885,6.2,0.074202006,2.6,0,0
P20248,P36578,0,0,0.18015043,6.3,0.210651862,7.4,0,0
P20248,Q6PJG2,0,0,0.180235912,6.3,0.170684814,6,0,0
P20248,Q9UN86-1,0,0,0.182945559,6.4,0.050959885,1.8,0,0
P20248,A8MY04,0,0,0.18795702,6.6,0.267622732,9.3,0,0
P20248,Q9UPP1-1,0,0,0.192342407,6.7,0.229389685,8,0,0
P20248,Q08211,0,0,0.195292264,6.8,0.069283668,2.4,0,0
P20248,Q07020,0,0,0.202330946,7.1,0.096765043,3.4,0,0
P20248,Q12834,0,0,0.210791786,7.4,0.229321872,8,0,0
P20248,P63208-1,0,0,0.212280802,7.4,0.2065234,7.2,0,0
P20248,Q9Y3Z3,0,0,0.214157593,7.5,0.209497612,7.3,0,0
P20248,P26373,0,0,0.2252149,7.9,0.09615616,3.4,0,0
P20248,Q9UPZ9-1,0,0,0.22984957,8,0.21004298,7.3,0,0
P20248,P50914,0,0,0.238147564,8.3,0.101861032,3.6,0,0
P20248,P23246-1,0,0,0.245925501,8.6,0.027511175,1,0,0
P20248,P20248,0,0,0.255899713,8.9,0.20574021,7.2,0,0
P20248,P13489,0,0,0.267316619,9.3,0.19162894,6.7,0,0
P20248,P50613,0,0,0.278858166,9.7,0.18815616,6.6,0,0
P20248,Q13309-1,0,0,0.283703916,9.9,0.214092646,7.5,0,0
P20248,P62877,0,0,0.29604298,10.3,0.233073066,8.1,0,0
P20248,P51948,0,0,0.309856734,10.8,0.215412607,7.5,0,0
P20248,P06493-1,0,0,0.340358166,11.9,0.354215855,12.4,0,0
P20248,Q9H147,0,0,0.342154728,11.9,0.216215855,7.5,0,0
P20248,Q15233,0,0,0.352464183,12.3,0.015997708,0.6,0,0
P20248,Q13257,0,0,0.3603085,12.6,0.283929322,9.9,0,0
P20248,P46776,0,0,0.388252149,13.6,0.200902579,7,0,0
P20248,P24941,0,0,0.403018147,14.1,0.395750716,13.8,0,0
P20248,P33552,0,0,0.40987297,14.3,0.557529131,19.5,0,0
P20248,P61024,0,0,0.662645654,23.1,0.836618911,29.2,0,0
P20248,Q00610-1,0,0,0.01217851,0.4,0.054630372,1.9,0,0
P20248,Q6N0B3,0,0,0.039939828,1.4,0.05545702,1.9,0,0
P20248,Q14008-1,0,0,0.017055444,0.6,0.057766476,2,0,0
P20248,Q9H211,0,0,0.029836676,1,0.058687679,2,0,0
P20248,P08670,0,0,0.045292168,1.6,0.058989494,2.1,0,0
P20248,P12956,0,0,0.00527765,0.2,0.061876791,2.2,0,0
P20248,O14980,0,0,0.018608596,0.6,0.065471347,2.3,0,0
P20248,P27694,0,0,0.018873209,0.7,0.070161891,2.4,0,0
P20248,Q12905,0,0,, ,0.084673352,3,0,0
P20248,Q16531,0,0,0.048813754,1.7,0.088969436,3.1,0,0
P20248,A5YKK6-1,0,0,0.006687679,0.2,0.093753582,3.3,0,0
P20248,P61353,0,0,0.046994269,1.6,0.097641834,3.4,0,0
P20248,Q15149-4,0,0,0.026046418,0.9,0.102727794,3.6,0,0
P20248,Q14764,0,0,, ,0.130169054,4.5,0,0
P20248,A6NG51,0,0,0.018155014,0.6,0.140587393,4.9,0,0
P20248,Q01082-1,0,0,0.021060602,0.7,0.152153295,5.3,0,0
P20248,Q5FBB7-1,0,0,0.003564183,0.1,0.158074499,5.5,0,0
P20248,Q562R1,0,0,0.016381948,0.6,0.175160458,6.1,0,0
P20248,Q6S8J3-1,0,0,0.016850287,0.6,0.180318052,6.3,0,0
P20248,Q13888,0,0,, ,0.196636103,6.9,0,0
P20248,P63261,0,0,0.027990353,1,0.204550143,7.1,0,0
P20248,O43707,0,0,0.016023926,0.6,0.27997851,9.8,0,0
P20248,Q7Z2Z1,0,0,0.034696275,1.2,0.281518625,9.8,0,0
P20248,Q5T7B8-1,0,0,0.031587393,1.1,0.321060172,11.2,0,0
P20248,Q96PN7-1,0,0,, ,0.392808023,13.7,0,0
P20248,Q9UM11-1,0,0,, ,0.399340974,13.9,0,0
P20248,Q09028,0,0,, ,0.40269341,14.1,0,0
P14635,P43246,0,0,0,0,0.057515759,2,0.033297994,1.2
P14635,Q9NR46-1,0,0,0,0,0.057667622,2,0.019573496,0.7
P14635,Q99717,0,0,0,0,0.061583095,2.1,0.020661734,0.7
P14635,P52701-1,0,0,0,0,0.084541547,3,0.042157593,1.5
P14635,Q15645-1,0,0,0,0,0.094371538,3.3,0.018227125,0.6
P14635,P43355,0,0,0,0,0.008832092,0.3,0.053382521,1.9
P14635,P05388,0,0,0,0,0.032492837,1.1,0.055845272,1.9
P14635,O95816,0,0,0,0,0.07039255,2.5,0.05730086,2
P14635,P40429,0,0,0,0,0.02557851,0.9,0.057767908,2
P14635,P55884-2,0,0,0,0,0.027100573,0.9,0.058799427,2.1
P14635,P62805,0,0,0,0,0.01789255,0.6,0.058924546,2.1
P14635,Q14152,0,0,0,0,0.034888825,1.2,0.059087393,2.1
P14635,P11940-1,0,0,0,0,0.026565425,0.9,0.061178606,2.1
P14635,Q9BUQ0,0,0,0,0,0.02137192,0.7,0.062145177,2.2
P14635,A8K674,0,0,0,0,0.066468959,2.3,0.062518625,2.2
P14635,P26373,0,0,0,0,0.027640688,1,0.062659026,2.2
P14635,P46778,0,0,0,0,0.036338109,1.3,0.063358166,2.2
P14635,P62820-1,0,0,0,0,0.023275931,0.8,0.064130372,2.2
P14635,P19338,0,0,0,0,0.03003639,1,0.065272206,2.3
P14635,Q9BUJ2-1,0,0,0,0,0.007303916,0.3,0.067366762,2.4
P14635,P60228,0,0,0,0,0.024618625,0.9,0.067395415,2.4
P14635,P46782,0,0,0,0,0.036358166,1.3,0.068005731,2.4
P14635,P61978-2,0,0,0,0,0.018127603,0.6,0.068260745,2.4
P14635,P25685,0,0,0,0,0.024695989,0.9,0.068280802,2.4
P14635,P52597,0,0,0,0,0.020320057,0.7,0.068692455,2.4
P14635,Q9BTM1-2,0,0,0,0,0.014142407,0.5,0.069097421,2.4
P14635,P17844,0,0,0,0,0.014310029,0.5,0.069616046,2.4
P14635,P51149,0,0,0,0,0.029983572,1,0.070547278,2.5
P14635,Q15149-4,0,0,0,0,0.016725883,0.6,0.070845272,2.5
P14635,O43684,0,0,0,0,0.014660458,0.5,0.070848138,2.5
P14635,P39019,0,0,0,0,0.035931232,1.3,0.071468481,2.5
P14635,P84090,0,0,0,0,0.026281566,0.9,0.071553009,2.5
P14635,Q5T6F2,0,0,0,0,0.01425745,0.5,0.07202149,2.5
P14635,P37108,0,0,0,0,0.025131232,0.9,0.073418338,2.6
P14635,P31943,0,0,0,0,0.012475454,0.4,0.074008596,2.6
P14635,P84243,0,0,0,0,0.012790401,0.4,0.074194842,2.6
P14635,B4DW28,0,0,0,0,0.028423305,1,0.074276982,2.6
P14635,P51148,0,0,0,0,0.028685005,1,0.074573066,2.6
P14635,P13010,0,0,0,0,0.026042693,0.9,0.075475645,2.6
P14635,P30050-1,0,0,0,0,0.02555234,0.9,0.076416428,2.7
P14635,P08708,0,0,0,0,0.027215759,0.9,0.076613181,2.7
P14635,P62491,0,0,0,0,0.030767717,1.1,0.0766915,2.7
P14635,Q14315-1,0,0,0,0,0.02654255,0.9,0.079515759,2.8
P14635,P49458,0,0,0,0,0.031432665,1.1,0.08204298,2.9
P14635,Q9H0U4,0,0,0,0,0.02335702,0.8,0.08265616,2.9
P14635,A8MYX5,0,0,0,0,0.030382521,1.1,0.083623209,2.9
P14635,P62906,0,0,0,0,0.023010745,0.8,0.085229226,3
P14635,P63208-1,0,0,0,0,0.055542502,1.9,0.08604107,3
P14635,B2ZZ83,0,0,0,0,0.032432665,1.1,0.087750716,3.1
P14635,Q07020,0,0,0,0,0.024745845,0.9,0.087852436,3.1
P14635,O15481,0,0,0,0,0.009994842,0.3,0.088765043,3.1
P14635,P61106,0,0,0,0,0.031519962,1.1,0.088784623,3.1
P14635,Q5RI17,0,0,0,0,0.019857163,0.7,0.088853868,3.1
P14635,Q02543,0,0,0,0,0.02297192,0.8,0.090464183,3.2
P14635,Q14157-2,0,0,0,0,0.013019293,0.5,0.09100191,3.2
P14635,Q16778,0,0,0,0,0.020942264,0.7,0.091424069,3.2
P14635,P08865,0,0,0,0,0.026371729,0.9,0.093024833,3.2
P14635,P25398,0,0,0,0,0.028533095,1,0.093095989,3.2
P14635,P08670,0,0,0,0,0.014559503,0.5,0.093439351,3.3
P14635,Q08211,0,0,0,0,0.019832378,0.7,0.097247851,3.4
P14635,P61026,0,0,0,0,0.030627507,1.1,0.098323782,3.4
P14635,P62857,0,0,0,0,0.02412894,0.8,0.098908309,3.5
P14635,B2R4K7,0,0,0,0,0.018518052,0.6,0.102454155,3.6
P14635,P62333,0,0,0,0,0.048146132,1.7,0.103200573,3.6
P14635,P50914,0,0,0,0,0.024806304,0.9,0.107217765,3.7
P14635,Q14247,0,0,0,0,0.068252149,2.4,0.108210602,3.8
P14635,A8MUS3,0,0,0,0,0.022211175,0.8,0.108601719,3.8
P14635,P23246-1,0,0,0,0,0.002956476,0.1,0.110253582,3.8
P14635,P51116,0,0,0,0,0.010232951,0.4,0.111630372,3.9
P14635,P06748-1,0,0,0,0,0.015274069,0.5,0.113368195,4
P14635,P07910-1,0,0,0,0,0.025171347,0.9,0.118670487,4.1
P14635,Q15233,0,0,0,0,0.009139064,0.3,0.127144222,4.4
P14635,Q6P1J9,0,0,0,0,0.035744986,1.2,0.131968481,4.6
P14635,Q9Y6D9,0,0,0,0,0.277858644,9.7,0.149586437,5.2
P14635,Q9UN86-1,0,0,0,0,0.021296562,0.7,0.155441261,5.4
P14635,Q6N0B3,0,0,0,0,0.030027603,1,0.161502388,5.6
P14635,A6NG51,0,0,0,0,0.02150702,0.8,0.168926934,5.9
P14635,Q01082-1,0,0,0,0,0.02965788,1,0.172153295,6
P14635,Q00535,0,0,0,0,0.271097421,9.5,0.173281375,6
P14635,P14635,0,0,0,0,0.238893028,8.3,0.178962751,6.2
P14635,Q13283,0,0,0,0,0.020264327,0.7,0.183359599,6.4
P14635,Q14764,0,0,0,0,0.091899713,3.2,0.19165616,6.7
P14635,P33552,0,0,0,0,0.221787966,7.7,0.194040115,6.8
P14635,P53350,0,0,0,0,0.01184384,0.4,0.195191977,6.8
P14635,Q9UPZ9-1,0,0,0,0,0.262157593,9.1,0.201313276,7
P14635,P09651-1,0,0,0,0,0.015702006,0.5,0.216272206,7.5
P14635,Q9Y2W1,0,0,0,0,0.0307851,1.1,0.231994269,8.1
P14635,Q13257,0,0,0,0,0.403741165,14.1,0.233284623,8.1
P14635,P23588,0,0,0,0,0.162326648,5.7,0.254252149,8.9
P14635,A8MY04,0,0,0,0,0.025315473,0.9,0.288767908,10.1
P14635,P06493-1,0,0,0,0,0.26734384,9.3,0.316498567,11
P14635,Q9UJX3,0,0,0,0,0.025983095,0.9,0.334899713,11.7
P14635,Q13309-1,0,0,0,0,0.1687383,5.9,0.38425979,13.4
P14635,Q562R1,0,0,0,0,0.014083811,0.5,0.425544413,14.9
P14635,Q6S8J3-1,0,0,0,0,0.016567335,0.6,0.461346705,16.1
P14635,Q14674-1,0,0,0,0,0.023596275,0.8,0.467020057,16.3
P14635,P61024,0,0,0,0,0.492438395,17.2,0.473370583,16.5
P14635,P63261,0,0,0,0,0.025482904,0.9,0.499503343,17.4
P14635,Q15208,0,0,0,0,0.088320917,3.1,0.534985673,18.7
P14635,O43707,0,0,0,0,0.018953295,0.7,0.573696275,20
P14635,P24941,0,0,0,0,0.638882521,22.3,0.580506208,20.3
P14635,A1L0V1,0,0,0,0,0.029315186,1,0.630945559,22
P14635,Q9NR12-1,0,0,0,0,0.02042149,0.7,0.773151862,27
