uniprot,gene_name,species
Q14C86-6,GAPVD1,9606
P14174,MIF,9606
P51970,NDUFA8,9606
P62917,RPL8,9606
P62937,PPIA,9606
Q15645-1,TRIP13,9606
Q9NR46-1,SH3GLB2,9606
O14980,XPO1,9606
P53990-4,KIAA0174,9606
Q99717,SMAD1,9606
A5YKK6-1,CNOT1,9606
Q16401,PSMD5,9606
O00571,DDX3X,9606
O75643-1,SNRNP200,9606
P62877,RBX1,9606
Q13547,HDAC1,9606
Q09028,RBBP4,9606
P62244,RPS15A,9606
Q7L2H7,EIF3M,9606
P61353,RPL27,9606
P30153,PPP2R1A,9606
P27348,YWHAQ,9606
P43246,MSH2,9606
Q9Y265-1,RUVBL1,9606
O75694-1,NUP155,9606
P18077,RPL35A,9606
Q00610-1,CLTC,9606
P35606,COPB2,9606
Q13838-2,DDX39,9606
P12956,XRCC6,9606
Q9NPD3,EXOSC4,9606
P46060,RANGAP1,9606
P62258,YWHAE,9606
Q16531,DDB1,9606
Q14008-1,CKAP5,9606
P78527-1,PRKDC,9606
Q8IWZ2,ANKHD1,9606
P52701-1,MSH6,9606
O75179-1,ANKRD17,9606
Q14980-1,NUMA1,9606
P61981,YWHAG,9606
Q13148,TARDBP,9606
Q9Y371-2,SH3GLB1,9606
P43355,MAGEA1,9606
,n/a,9606
P05388,RPLP0,9606
O95816,BAG2,9606
P40429,RPL13A,9606
P55884-2,EIF3B,9606
P62805,HIST1H4A,9606
Q14152,EIF3A,9606
P11940-1,PABPC1,9606
Q9BUQ0,PTBP1,9606
A8K674,RPS27A;UBA52,9606
P26373,RPL13,9606
P46778,RPL21,9606
P62820-1,RAB1A,9606
P19338,NCL,9606
Q9BUJ2-1,HNRNPUL1,9606
P60228,EIF3E,9606
P46782,RPS5,9606
P61978-2,HNRNPK,9606
P25685,DNAJB1,9606
P52597,HNRNPF,9606
Q9BTM1-2,HIST1H2AB,9606
P17844,DDX5,9606
P51149,RAB7A,9606
Q15149-4,PLEC1,9606
O43684,BUB3,9606
P39019,RPS19,9606
P84090,ERH,9606
Q5T6F2,UBAP2,9606
P37108,SRP14,9606
P31943,HNRNPH1,9606
P84243,HIST3H3,9606
B4DW28,RPS20,9606
P51148,RAB5C,9606
P13010,XRCC5,9606
P30050-1,RPL12,9606
P08708,RPS17,9606
P62491,RAB11A,9606
Q14315-1,FLNC,9606
P49458,SRP9,9606
Q9H0U4,RAB1B,9606
A8MYX5,RPL30,9606
P62906,RPL10A,9606
P63208-1,SKP1,9606
B2ZZ83,FLNB,9606
Q07020,RPL18,9606
O15481,MAGEB4,9606
P61106,RAB14,9606
Q5RI17,HNRNPU,9606
Q02543,RPL18A,9606
Q14157-2,UBAP2L,9606
Q16778,HIST1H2BB,9606
P08865,RPSA,9606
P25398,RPS12,9606
P08670,VIM,9606
Q08211,DHX9,9606
P61026,RAB10,9606
P62857,RPS28,9606
B2R4K7,RPL6,9606
P62333,PSMC6,9606
P50914,RPL14,9606
Q14247,CTTN,9606
A8MUS3,RPL23A,9606
P23246-1,SFPQ,9606
P51116,FXR2,9606
P06748-1,NPM1,9606
P07910-1,HNRNPC,9606
Q15233,NONO,9606
Q6P1J9,CDC73,9606
Q9Y6D9,MAD1L1,9606
Q9UN86-1,G3BP2,9606
Q6N0B3,ANXA2,9606
A6NG51,SPTAN1,9606
Q01082-1,SPTBN1,9606
Q00535,CDK5,9606
P14635,CCNB1,9606
Q13283,G3BP1,9606
Q14764,MVP,9606
P33552,CKS2,9606
P53350,PLK1,9606
Q9UPZ9-1,ICK,9606
P09651-1,HNRNPA1,9606
Q9Y2W1,THRAP3,9606
Q13257,MAD2L1,9606
P23588,EIF4B,9606
A8MY04,RPL7,9606
P06493-1,CDC2,9606
Q9UJX3,ANAPC7,9606
Q13309-1,SKP2,9606
Q562R1,ACTBL2,9606
Q6S8J3-1,ACTBL3,9606
Q14674-1,ESPL1,9606
P61024,CKS1B,9606
P63261,ACTG1,9606
Q15208,STK38,9606
O43707,ACTN4,9606
P24941,CDK2,9606
A1L0V1,ACTN1,9606
Q9NR12-1,PDLIM7,9606
B0YJ91,ROCK1,9606
P14868,DARS,9606
P62280,RPS11,9606
Q13616,CUL1,9606
P28072,PSMB6,9606
P62241,RPS8,9606
P39023,RPL3,9606
P62304,SNRPEL1,9606
Q9GZT3,SLIRP,9606
P46527,CDKN1B,9606
Q9H211,CDT1,9606
P27694,RPA1,9606
P63220,RPS21,9606
P32969,RPL9,9606
Q12905,ILF2,9606
A6NC28,RPL32,9606
A6NE05,RPL26,9606
A6NE65,RPS7,9606
P30291,WEE1,9606
P62899,RPL31,9606
P05198,EIF2S1,9606
Q5W0B1,RNF219,9606
P55072,VCP,9606
P28749-1,RBL1,9606
P51946,CCNH,9606
P35244,RPA3,9606
P49918-1,CDKN1C,9606
Q99741,CDC6,9606
P46777,RPL5,9606
Q5FBB7-1,SGOL1,9606
P35268,RPL22,9606
P62913-1,RPL11,9606
Q6PJG2,C14orf43,9606
P50613,CDK7,9606
P13489,RNH1,9606
Q13888,GTF2H2,9606
Q5T4S7-2,UBR4,9606
P46776,RPL27A,9606
P20248,CCNA2,9606
Q9Y3Z3,SAMHD1,9606
P36578,RPL4,9606
P51948,MNAT1,9606
Q9H147,DNTTIP1,9606
P38936,CDKN1A,9606
Q12834,CDC20,9606
Q9UPP1-1,PHF8,9606
O60343,TBC1D4,9606
Q7Z2Z1,C15orf42,9606
Q5T7B8-1,KIF24,9606
P63104,YWHAZ,9606
Q96PN7-1,TRERF1,9606
Q9UM11-1,FZR1,9606
Q9ULV4,CORO1C,9606
O00151,PDLIM1,9606
P23396,RPS3,9606
Q13418,ILK,9606
O15027-1,SEC16A,9606
Q9NT62-1,ATG3,9606
Q13435,SF3B2,9606
Q96H20-1,SNF8,9606
B3KT15,PSMD13,9606
Q13404-4,UBE2V1,9606
Q9H8S9-1,MOBKL1A,9606
O14908,GIPC1,9606
Q9NUP9,LIN7C,9606
Q08999,RBL2,9606
P24864-1,CCNE1,9606
P62851,RPS25,9606
P22626-1,HNRNPA2B1,9606
Q13042-1,CDC16,9606
Q8WWY3-1,PRPF31,9606
Q86UD0,C9orf140,9606
Q9H254-1,SPTBN4,9606
B0YIW6,ARCN1,9606
Q86V48-1,LUZP1,9606
Q5T1Z8,PUM1,9606
P25788-1,PSMA3,9606
Q16352,INA,9606
O60684,KPNA1,9606
P62854,RPS26,9606
P51991-1,HNRNPA3,9606
Q5HY50,RPL10,9606
P83731,RPL24,9606
A8K0H3,RPL29,9606
Q9Y285,FARSA,9606
P55199,ELL,9606
P61247,RPS3A,9606
Q9BUL8,PDCD10,9606
P62753,RPS6,9606
Q06787-1,FMR1,9606
Q9Y3D6,FIS1,9606
Q3B867,PABPC4,9606
Q15154-3,PCM1,9606
P15328,FOLR1,9606
P40937,RFC5,9606
Q7Z460-1,CLASP1,9606
Q15058,KIF14,9606
Q9H1A4,ANAPC1,9606
Q9BPX3,NCAPG,9606
Q13523,PRPF4B,9606
Q14697-1,GANAB,9606
P61020,RAB5B,9606
B2ZZ80,FLNA,9606
B4DMU2,AFAP1,9606
B4DI56,SMTN,9606
P31942-1,HNRNPH3,9606
A8MQ38,NOP2,9606
P46013-1,MKI67,9606
P62263,RPS14,9606
B4DGC0,TNRC6B,9606
Q9UKV8,EIF2C2;EIF2C3,9606
Q9UKA9-3,PTBP2,9606
P55795,HNRNPH2,9606
P42167-1,LAP2A;LAP2B,9606
A6NMJ5,YTHDF1,9606
Q15637-5,SF1,9606
P05023-1,ATP1A1,9606
P15927-3,RPA2,9606
P18621,RPL17,9606
Q15046,KARS,9606
P49207,RPL34,9606
P38159,RBMX,9606
P09874,PARP1,9606
Q9GZZ9,UBA5,9606
B4DEP9,RPL28,9606
O95400,CD2BP2,9606
Q53GG0,LIMA1,9606
A8MV58,DBN1,9606
B2R6D7,CSNK2A1,9606
P07384,CAPN1,9606
Q9UMY4-1,SNX12,9606
Q6YN16-1,HSDL2,9606
Q9NXR1-1,NDE1,9606
Q96EE3-1,SEH1L,9606
Q14207,NPAT,9606
Q7L014,DDX46,9606
P38919,EIF4A3,9606
Q92785,REQU,9606
Q9Y2Z0-1,SUGT1,9606
Q16254,E2F4,9606
Q5CZC0-1,FSIP2,9606
P18074,ERCC2,9606
O60925,PFDN1,9606
Q01094,E2F1,9606
Q86U42-1,PABPN1,9606
A4FTV3,ZNF185,9606
O75665-1,OFD1,9606
Q9UPQ4-1,TRIM35,9606
Q9Y678,COPG2,9606
Q9NXR7-1,BRE,9606
Q14240-2,EIF4A2,9606
Q00403,GTF2B,9606
P31153,MAT2A,9606
