Prey Accession,Gene Symbol,Species TaxIDs,Localization
P16732,UL89,10360,Viral
P12824,UL75,10360,Viral
P16810,RL12,10360,Viral
P16844,UL15A,10360,Viral
P16791,UL50,10360,Viral
P16726,UL77,10360,Viral
P16724,UL56,10360,Viral
P16736,UL105,10360,Viral
P16799,UL93,10360,Viral
P09719,US14,10360,Viral
P16792,UL51,10360,Viral
P19893,UL122,10360,Viral
P16749,UL69,10360,Viral
P09727,US11,10360,Viral
P16755,UL13,10360,Viral
P16837,UL128,10360,Viral
P13202,UL123,10360,Viral
P16778,UL37,10360,Viral
P08318,UL32,10360,Viral
P16766,UL35,10360,Viral
P16761,UL25,10360,Viral
P09729,US9,10360,Viral
F5HAZ3,US23,10360,Viral
F5HAY6,UL36,10360,Viral
F5HEA3,UL71,10360,Viral
F5HDQ6,UL57,10360,Viral
F5HGU6,UL132,10360,Viral
F5HDK1,US27,10360,Viral
F5HB52,US8,10360,Viral
F5H8S6,US24,10360,Viral
F5HGG3,UL26,10360,Viral
F5HCH8,UL115,10360,Viral
F5H9F9,UL88,10360,Viral
F5HGT1,UL86,10360,Viral
F5HA93,UL46,10360,Viral
B9VXM8,UL70,10360,Viral
P17152,TMEM11,9606,Mitochondria; Peroxisome
Q7Z434,MAVS,9606,Mitochondria; Peroxisome
Q969V5,MUL1,9606,Mitochondria; Peroxisome
P10620,MGST1,9606,Mitochondria; Peroxisome
O95573,ACSL3,9606,Mitochondria; Peroxisome
Q9GZY8,MFF,9606,Mitochondria; Peroxisome
P33897,ABCD1,9606,Mitochondria; Peroxisome
Q53EP0,FNDC3B,9606,Peroxisome
Q8NBU5,ATAD1,9606,Peroxisome
P28288,ABCD3,9606,Peroxisome
Q07020,RPL18,9606,Peroxisome
Q8WVX9,FAR1,9606,Peroxisome
O96011,PEX11B,9606,Peroxisome
O14879,IFIT3,9606,Mitochondria
P43304,GPD2,9606,Mitochondria
P28331,NDUFS1,9606,Mitochondria
Q9Y6N5,SQOR,9606,Mitochondria
Q96TC7,RMDN3,9606,Mitochondria
Q8IWA4,MFN1,9606,Mitochondria
Q96EY1,DNAJA3,9606,Mitochondria
O60313,OPA1,9606,Mitochondria
P52789,HK2,9606,Mitochondria
P00403,COX2,9606,Mitochondria
Q14318,FKBP8,9606,Mitochondria
P62269,RPS18,9606,Mitochondria
P00367,GLUD1,9606,Mitochondria
Q99595,TIMM17A,9606,Mitochondria
P49821,NDUFV1,9606,Mitochondria
Q8IXI1,RHOT2,9606,Mitochondria
Q99623,PHB2,9606,Mitochondria
P45880,VDAC2,9606,Mitochondria
P00973,OAS1,9606,Mitochondria
P42345,MTOR,9606,Mitochondria
P20674,COX5A,9606,Mitochondria
O75947,ATP5H,9606,Mitochondria
O75746,SLC25A12,9606,Mitochondria
O60830,TIMM17B,9606,Mitochondria
P42704,LRPPRC,9606,Mitochondria
O75306,NDUFS2,9606,Mitochondria
O00471,EXOC5,9606,Mitochondria
O00165,HAX1,9606,Mitochondria
Q9Y512,SAMM50,9606,Mitochondria
Q9NZJ7,MTCH1,9606,Mitochondria
Q8NE86,MCU,9606,Mitochondria
P35232,PHB,9606,Mitochondria
P31040,SDHA,9606,Mitochondria
Q9UH62,ARMCX3,9606,Mitochondria
Q5SRD1,TIMM23B,9606,Mitochondria
Q9BVV7,TIMM21,9606,Mitochondria
P40939,HADHA,9606,Mitochondria
O75431,MTX2,9606,Mitochondria
Q86WV6,TMEM173,9606,Mitochondria
Q6NUK1,SLC25A24,9606,Mitochondria
Q9BUK6,MSTO1,9606,Mitochondria
P07919,UQCRH,9606,Mitochondria
Q07021,C1QBP,9606,Mitochondria
Q9BPX6,MICU1,9606,Mitochondria
Q9UBX3,SLC25A10,9606,Mitochondria
O00743,PPP6C,9606,Mitochondria
Q9H4A6,GOLPH3,9606,Mitochondria
Q16611,BAK1,9606,Mitochondria
P31689,DNAJA1,9606,Mitochondria
Q9UJS0,SLC25A13,9606,Mitochondria
Q5T9A4,ATAD3B,9606,Mitochondria
O43169,CYB5B,9606,Mitochondria
Q15070,OXA1L,9606,Mitochondria
Q9Y6C9,MTCH2,9606,Mitochondria
P36542,ATP5C1,9606,Mitochondria
Q9NX63,CHCHD3,9606,Mitochondria
Q3ZCQ8,TIMM50,9606,Mitochondria
P55084,HADHB,9606,Mitochondria
Q9H061,TMEM126A,9606,Mitochondria
Q9UDW1,UQCR10,9606,Mitochondria
Q9Y277,VDAC3,9606,Mitochondria
Q8IYU8,MICU2,9606,Mitochondria
P31930,UQCRC1,9606,Mitochondria
Q9Y3E5,PTRH2,9606,Mitochondria
Q9H845,ACAD9,9606,Mitochondria
Q9GZT3,SLIRP,9606,Mitochondria
Q96HS1,PGAM5,9606,Mitochondria
P08574,CYC1,9606,Mitochondria
O75962,TRIO,9606,Mitochondria
Q02978,SLC25A11,9606,Mitochondria
Q16795,NDUFA9,9606,Mitochondria
P63167,DYNLL1,9606,Mitochondria
Q9NVH1,DNAJC11,9606,Mitochondria
P50416,CPT1A,9606,Mitochondria
Q6NZI2,CAVIN1,9606,Mitochondria
P30049,ATP5D,9606,Mitochondria
Q8IXI2,RHOT1,9606,Mitochondria
Q9NVI7,ATAD3A,9606,Mitochondria
P19404,NDUFV2,9606,Mitochondria
Q9UJZ1,STOML2,9606,Mitochondria
O96008,TOMM40,9606,Mitochondria
Q16891,IMMT,9606,Mitochondria
Q5T160,RARS2,9606,Mitochondria
Q96TA2,YME1L1,9606,Mitochondria
P32189,GK,9606,Mitochondria
Q07812,BAX,9606,Mitochondria
Q07065,CKAP4,9606,Membrane; ER/Golgi
Q13501,SQSTM1,9606,Membrane; ER/Golgi
P20337,RAB3B,9606,Membrane; ER/Golgi
Q9NQC3,RTN4,9606,Membrane; ER/Golgi
Q6PJW8,CNST,9606,Membrane; ER/Golgi
Q9BRK5,SDF4,9606,Membrane; ER/Golgi
P16615,ATP2A2,9606,Membrane; ER/Golgi
P51148,RAB5C,9606,Membrane; ER/Golgi
O75396,SEC22B,9606,Membrane; ER/Golgi
P11021,HSPA5,9606,ER/Golgi
Q14257,RCN2,9606,ER/Golgi
Q96D15,RCN3,9606,ER/Golgi
P20591,MX1,9606,ER/Golgi
Q9UBS4,DNAJB11,9606,ER/Golgi
P14625,HSP90B1,9606,ER/Golgi
P55072,VCP,9606,ER/Golgi
O95816,BAG2,9606,ER/Golgi
P05388,RPLP0,9606,ER/Golgi
Q9UBP4,DKK3,9606,ER/Golgi
Q7Z406,MYH14,9606,ER/Golgi
P39656,DDOST,9606,ER/Golgi
O14744,PRMT5,9606,ER/Golgi
P27797,CALR,9606,ER/Golgi
P57088,TMEM33,9606,ER/Golgi
O15269,SPTLC1,9606,ER/Golgi
Q96CS3,FAF2,9606,ER/Golgi
Q9BZG1,RAB34,9606,ER/Golgi
Q02818,NUCB1,9606,ER/Golgi
Q969X5,ERGIC1,9606,ER/Golgi
P13674,P4HA1,9606,ER/Golgi
Q02809,PLOD1,9606,ER/Golgi
P46977,STT3A,9606,ER/Golgi
P32969,RPL9,9606,ER/Golgi
Q9UBS3,DNAJB9,9606,ER/Golgi
Q9HCN8,SDF2L1,9606,ER/Golgi
P40616,ARL1,9606,ER/Golgi
P24390,KDELR1,9606,ER/Golgi
O60568,PLOD3,9606,ER/Golgi
Q8NF37,LPCAT1,9606,ER/Golgi
Q9UBV2,SEL1L,9606,ER/Golgi
P02649,APOE,9606,ER/Golgi
Q9NXH8,TOR4A,9606,ER/Golgi
P80303,NUCB2,9606,ER/Golgi
Q63ZY3,KANK2,9606,Membrane; Mitochondria
P36873,PPP1CC,9606,Mitochondria
Q9BWM7,SFXN3,9606,Mitochondria
P38646,HSPA9,9606,Mitochondria
P09211,GSTP1,9606,Mitochondria
P47985,UQCRFS1,9606,Mitochondria
P22314,UBA1,9606,Mitochondria
P30044,PRDX5,9606,Mitochondria
Q9UHV9,PFDN2,9606,Mitochondria
Q96RT1,ERBB2IP,9606,Membrane
O00159,MYO1C,9606,Membrane
O60716,CTNND1,9606,Membrane
Q14160,SCRIB,9606,Membrane
P35221,CTNNA1,9606,Membrane
P35222,CTNNB1,9606,Membrane
Q8WWI1,LMO7,9606,Membrane
O75369,FLNB,9606,Membrane
P46940,IQGAP1,9606,Membrane
P18206,VCL,9606,Membrane
P02786,TFRC,9606,Membrane
O43795,MYO1B,9606,Membrane
P07384,CAPN1,9606,Membrane
P19022,CDH2,9606,Membrane
Q9NP72,RAB18,9606,Membrane
P17655,CAPN2,9606,Membrane
Q14247,CTTN,9606,Membrane
P30153,PPP2R1A,9606,Membrane
Q13557,CAMK2D,9606,Membrane
P61224,RAP1B,9606,Membrane
Q01518,CAP1,9606,Membrane
P60953,CDC42,9606,Membrane
Q9UDY4,DNAJB4,9606,Membrane
Q01628,IFITM3,9606,Membrane
P40199,CEACAM6,9606,Membrane
ORFL147C,ORFL147C,10360,Viral
P16788,UL97,10360,Viral
F5HIG1,UL102,10360,Viral
F5HEN8,UL105,10360,Viral
